,day1,day2,day3,day4,day5,day6
v1,"A,B",A,C,"B,C",B,"A,C"
v2,A,"A,C",C,B,"B,C",A
v3,"A,B",B,"A,B","A,C",C,A
v4,C,B,A,"B,C",A,"A,B"
v5,"A,B",A,B,"A,B",C,A
v6,"A,B,C",C,C,A,"A,B,C","B,C"
,,,,,,
winner Aproval,A,A,C,B,C,A
explanation approval,המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (5 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל A),המועמד C ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל C),המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות (4 מצביעים הצביעו ל B),המועמד C ניצח כי הוא קיבל הכי הרבה הצבעות (4 מצביעים הצביעו ל C),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (5 מצביעים הצביעו ל A)
,,,,,,
winner MES,A,A,C,A,A,A
explanation MES,"המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 5 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 6.00
למצביע v2 נשאר: 6.00
למצביע v3 נשאר: 6.00
למצביע v5 נשאר: 6.00
למצביע v6 נשאר: 6.00","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 4.80
למצביע v2 נשאר: 4.80
למצביע v5 נשאר: 4.80","המועמד C נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של C היא 6.00, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 2.80
למצביע v2 נשאר: 2.80
למצביע v6 נשאר: 2.80","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v3 נשאר: 4.80
למצביע v5 נשאר: 2.80
למצביע v6 נשאר: 2.80","המועמד A נבחר כי קבוצת התומכים שלו (במקרה הזה רק מצביע אחד) הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 1 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v4 נשאר: 6.00","המועמד A נבחר כי אמנם אין לו מספיק תומכים לממן אותו, אך גם לשאר המועמדים אין מספיק תומכים לממן אותם. אך מועמד A יכול לאסוף מהתומכים את התקציב הכי קרוב למה שהוא צריך. 
בסף הכל למצביעים שלו יש תקציב: 5.2 (העלות הכוללת של A הוא 6)
למצביע v1 נשאר: 0.80
למצביע v2 נשאר: 0.80
למצביע v3 נשאר: 2.80
למצביע v4 נשאר: 0.00
למצביע v5 נשאר: 0.80"
,,,,,,
winner PP,A,A,A,B,C,B
explanation PP,"המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 1.20
המצביע v2 סוחב: 1.20
המצביע v3 סוחב: 1.20
המצביע v4 סוחב: 0.00
המצביע v5 סוחב: 1.20
המצביע v6 סוחב: 1.20","המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 3.20
המצביע v2 סוחב: 3.20
המצביע v3 סוחב: 1.20
המצביע v4 סוחב: 0.00
המצביע v5 סוחב: 3.20
המצביע v6 סוחב: 1.20","המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 3.20
המצביע v2 סוחב: 3.20
המצביע v3 סוחב: 3.20
המצביע v4 סוחב: 2.00
המצביע v5 סוחב: 3.20
המצביע v6 סוחב: 1.20","המועמד B נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את B:
המצביע v1 סוחב: 4.70
המצביע v2 סוחב: 4.70
המצביע v3 סוחב: 3.20
המצביע v4 סוחב: 3.50
המצביע v5 סוחב: 4.70
המצביע v6 סוחב: 1.20","המועמד C נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את C:
המצביע v1 סוחב: 4.70
המצביע v2 סוחב: 6.20
המצביע v3 סוחב: 4.70
המצביע v4 סוחב: 3.50
המצביע v5 סוחב: 6.20
המצביע v6 סוחב: 2.70","המועמד B נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את B:
המצביע v1 סוחב: 4.70
המצביע v2 סוחב: 6.20
המצביע v3 סוחב: 4.70
המצביע v4 סוחב: 6.50
המצביע v5 סוחב: 6.20
המצביע v6 סוחב: 5.70"
,,,,,,
winner PUC,A,B,C,B,C,A
