,day1,day2,day3
v1,A,A,B
v2,A,A,B
v3,A,A,C
v4,"B,C",C,C
v5,"B,C","B,C",A
v6,C,B,"A,B"
,,,
winner Aproval,A,A,B
explanation approval,המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל A),המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות (3 מצביעים הצביעו ל B)
,,,
winner MES,A,C,B
explanation MES,"המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 6.00, שמתחלקת בין 3 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 3.00
למצביע v2 נשאר: 3.00
למצביע v3 נשאר: 3.00","המועמד C נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של C היא 6.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v4 נשאר: 3.00
למצביע v5 נשאר: 3.00","המועמד B נבחר כי אמנם אין לו מספיק תומכים לממן אותו, אך גם לשאר המועמדים אין מספיק תומכים לממן אותם. אך מועמד B יכול לאסוף מהתומכים את התקציב הכי קרוב למה שהוא צריך. 
בסף הכל למצביעים שלו יש תקציב: 4 (העלות הכוללת של B הוא 6)
למצביע v1 נשאר: 1.00
למצביע v2 נשאר: 1.00
למצביע v6 נשאר: 3.00"
,,,
winner PP,A,B,C
explanation PP,"המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 1.00
המצביע v2 סוחב: 1.00
המצביע v3 סוחב: 1.00
המצביע v4 סוחב: 0.00
המצביע v5 סוחב: 0.00
המצביע v6 סוחב: 0.00","המועמד B נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את B:
המצביע v1 סוחב: 1.00
המצביע v2 סוחב: 1.00
המצביע v3 סוחב: 1.00
המצביע v4 סוחב: 0.00
המצביע v5 סוחב: 1.50
המצביע v6 סוחב: 1.50","המועמד C נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את C:
המצביע v1 סוחב: 1.00
המצביע v2 סוחב: 1.00
המצביע v3 סוחב: 2.50
המצביע v4 סוחב: 1.50
המצביע v5 סוחב: 1.50
המצביע v6 סוחב: 1.50"
,,,
winner PUC,A,B,B
explanation PUC,"המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 שווה 1 ונשאר ככה כי הוא בחר במועמד A
הקול של v2 שווה 1 ונשאר ככה כי הוא בחר במועמד A
הקול של v3 שווה 1 ונשאר ככה כי הוא בחר במועמד A
הקול של v4 היה 1 ועכשיו שווה 2
הקול של v5 היה 1 ועכשיו שווה 2
הקול של v6 היה 1 ועכשיו שווה 2","המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 היה 1 ועכשיו שווה 2
הקול של v2 היה 1 ועכשיו שווה 2
הקול של v3 היה 1 ועכשיו שווה 2
הקול של v4 היה 2 ועכשיו שווה 3
הקול של v5 שווה 2 ונשאר ככה כי הוא בחר במועמד B
הקול של v6 שווה 2 ונשאר ככה כי הוא בחר במועמד B","המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 היה 2 ועכשיו שווה 3
הקול של v2 היה 2 ועכשיו שווה 3
הקול של v3 שווה 2 ונשאר ככה כי הוא בחר במועמד B
הקול של v4 שווה 3 ונשאר ככה כי הוא בחר במועמד B
הקול של v5 שווה 2 ונשאר ככה כי הוא בחר במועמד B
הקול של v6 היה 2 ועכשיו שווה 3"
