,day1,day2,day3,day4,day5,day6
v1,A,"A,B","A,C",A,A,B
v2,A,A,B,B,C,"A,B"
v3,B,C,A,A,A,C
,,,,,,
winner Aproval,A,A,A,A,A,B
explanation approval,המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (2 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (2 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (2 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (2 מצביעים הצביעו ל A),המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות (2 מצביעים הצביעו ל A),המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות (2 מצביעים הצביעו ל B)
,,,,,,
winner MES,A,A,A,A,C,C
explanation MES,"המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 3.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 6.00
למצביע v2 נשאר: 6.00","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 3.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 4.50
למצביע v2 נשאר: 4.50","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 3.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 3.00
למצביע v3 נשאר: 6.00","המועמד A נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של A היא 3.00, שמתחלקת בין 2 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v1 נשאר: 1.50
למצביע v3 נשאר: 4.50","המועמד C נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של C היא 3.00, שמתחלקת בין 1 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v2 נשאר: 3.00","המועמד C נבחר כי קבוצת התומכים שלו הצליחה לממן את הבחירה בו במחיר הכולל הנמוך ביותר:
העלות הכוללת של C היא 3.00, שמתחלקת בין 1 מצביעים
ולכל אחד מהמצביעים נשאר מספיק תקציב:
למצביע v3 נשאר: 3.00"
,,,,,,
winner PP,A,C,B,A,A,C
explanation PP,"המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 1.50
המצביע v2 סוחב: 1.50
המצביע v3 סוחב: 0.00","המועמד C נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את C:
המצביע v1 סוחב: 1.50
המצביע v2 סוחב: 1.50
המצביע v3 סוחב: 3.00","המועמד B נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את B:
המצביע v1 סוחב: 1.50
המצביע v2 סוחב: 4.50
המצביע v3 סוחב: 3.00","המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 3.00
המצביע v2 סוחב: 4.50
המצביע v3 סוחב: 4.50","המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 4.50
המצביע v2 סוחב: 4.50
המצביע v3 סוחב: 6.00","המועמד A נבחר כי המשקל שלו מתפרס על המצביעים בצורה הכי טובה (אף אחד לא לוקח על עצמו יותר מידי לעומת אם נבחר במנצח אחר)    
אחרי שבחרנו את A:
המצביע v1 סוחב: 6.00
המצביע v2 סוחב: 6.00
המצביע v3 סוחב: 6.00"
,,,,,,
winner PUC,A,C,A,A,C,B
explanation PUC,"המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 שווה 1 ונשאר ככה כי הוא בחר במועמד A
הקול של v2 שווה 1 ונשאר ככה כי הוא בחר במועמד A
הקול של v3 היה 1 ועכשיו שווה 2","המועמד C ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 היה 1 ועכשיו שווה 2
הקול של v2 היה 1 ועכשיו שווה 2
הקול של v3 שווה 2 ונשאר ככה כי הוא בחר במועמד C","המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 שווה 2 ונשאר ככה כי הוא בחר במועמד A
הקול של v2 היה 2 ועכשיו שווה 3
הקול של v3 שווה 2 ונשאר ככה כי הוא בחר במועמד A","המועמד A ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 שווה 2 ונשאר ככה כי הוא בחר במועמד A
הקול של v2 היה 3 ועכשיו שווה 4
הקול של v3 שווה 2 ונשאר ככה כי הוא בחר במועמד A","המועמד C ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 היה 2 ועכשיו שווה 3
הקול של v2 שווה 4 ונשאר ככה כי הוא בחר במועמד C
הקול של v3 היה 2 ועכשיו שווה 3","המועמד B ניצח כי הוא קיבל הכי הרבה הצבעות ולכן כל מי שלא הצביע לו, הקול שלו בסבבים הבאים יגדל ב-1.
כלומר נעדכן את מאזן הקולות כך:
הקול של v1 היה 3 ועכשיו שווה 4
הקול של v2 היה 4 ועכשיו שווה 5
הקול של v3 שווה 3 ונשאר ככה כי הוא בחר במועמד B"
